group	fill	x	y	clickSelects
781	#FFFFFF	-5.45	0	30
781	#FFFFFF	-5	0.45	30
781	#FFFFFF	-4.55	0	30
781	#FFFFFF	-5	-0.45	30
781	#FFFFFF	-5.45	0	30
654	#FFFFFF	-4.95	0.5	1
654	#FFFFFF	-4.5	0.95	1
654	#FFFFFF	-4.05	0.5	1
654	#FFFFFF	-4.5	0.05	1
654	#FFFFFF	-4.95	0.5	1
653	#FFFFFF	-4.45	1	2
653	#FFFFFF	-4	1.45	2
653	#FFFFFF	-3.55	1	2
653	#FFFFFF	-4	0.55	2
653	#FFFFFF	-4.45	1	2
293	#FFFFFF	-3.95	1.5	2
293	#FFFFFF	-3.5	1.95	2
293	#FFFFFF	-3.05	1.5	2
293	#FFFFFF	-3.5	1.05	2
293	#FFFFFF	-3.95	1.5	2
291	#FFFFFF	-3.45	2	2
291	#FFFFFF	-3	2.45	2
291	#FFFFFF	-2.55	2	2
291	#FFFFFF	-3	1.55	2
291	#FFFFFF	-3.45	2	2
58	#FFFFFF	-2.95	2.5	2
58	#FFFFFF	-2.5	2.95	2
58	#FFFFFF	-2.05	2.5	2
58	#FFFFFF	-2.5	2.05	2
58	#FFFFFF	-2.95	2.5	2
10	#FFFFFF	-1.95	3.5	21
10	#FFFFFF	-1.5	3.95	21
10	#FFFFFF	-1.05	3.5	21
10	#FFFFFF	-1.5	3.05	21
10	#FFFFFF	-1.95	3.5	21
7	#FFFFFF	-1.45	4	6
7	#FFFFFF	-1	4.45	6
7	#FFFFFF	-0.55	4	6
7	#FFFFFF	-1	3.55	6
7	#FFFFFF	-1.45	4	6
4	#FFFFFF	-0.95	4.5	6
4	#FFFFFF	-0.5	4.95	6
4	#FFFFFF	-0.05	4.5	6
4	#FFFFFF	-0.5	4.05	6
4	#FFFFFF	-0.95	4.5	6
786	#FFFFFF	-0.45	5	6
786	#FFFFFF	0	5.45	6
786	#FFFFFF	0.45	5	6
786	#FFFFFF	0	4.55	6
786	#FFFFFF	-0.45	5	6
791	#FFFFFF	0.05	5.5	6
791	#FFFFFF	0.5	5.95	6
791	#FFFFFF	0.95	5.5	6
791	#FFFFFF	0.5	5.05	6
791	#FFFFFF	0.05	5.5	6
797	#FFFFFF	0.55	6	6
797	#FFFFFF	1	6.45	6
797	#FFFFFF	1.45	6	6
797	#FFFFFF	1	5.55	6
797	#FFFFFF	0.55	6	6
803	#FFFFFF	1.05	6.5	6
803	#FFFFFF	1.5	6.95	6
803	#FFFFFF	1.95	6.5	6
803	#FFFFFF	1.5	6.05	6
803	#FFFFFF	1.05	6.5	6
810	#FFFFFF	1.55	7	6
810	#FFFFFF	2	7.45	6
810	#FFFFFF	2.45	7	6
810	#FFFFFF	2	6.55	6
810	#FFFFFF	1.55	7	6
817	#FFFFFF	2.05	7.5	6
817	#FFFFFF	2.5	7.95	6
817	#FFFFFF	2.95	7.5	6
817	#FFFFFF	2.5	7.05	6
817	#FFFFFF	2.05	7.5	6
825	#FFFFFF	2.55	8	6
825	#FFFFFF	3	8.45	6
825	#FFFFFF	3.45	8	6
825	#FFFFFF	3	7.55	6
825	#FFFFFF	2.55	8	6
833	#FFFFFF	3.05	8.5	6
833	#FFFFFF	3.5	8.95	6
833	#FFFFFF	3.95	8.5	6
833	#FFFFFF	3.5	8.05	6
833	#FFFFFF	3.05	8.5	6
842	#FFFFFF	3.55	9	6
842	#FFFFFF	4	9.45	6
842	#FFFFFF	4.45	9	6
842	#FFFFFF	4	8.55	6
842	#FFFFFF	3.55	9	6
851	#FFFFFF	4.05	9.5	6
851	#FFFFFF	4.5	9.95	6
851	#FFFFFF	4.95	9.5	6
851	#FFFFFF	4.5	9.05	6
851	#FFFFFF	4.05	9.5	6
854	#FFFFFF	4.55	10	12
854	#FFFFFF	5	10.45	12
854	#FFFFFF	5.45	10	12
854	#FFFFFF	5	9.55	12
854	#FFFFFF	4.55	10	12
652	#FFFFFF	-4.45	0	1
652	#FFFFFF	-4	0.45	1
652	#FFFFFF	-3.55	0	1
652	#FFFFFF	-4	-0.45	1
652	#FFFFFF	-4.45	0	1
292	#FFFFFF	-3.95	0.5	1
292	#FFFFFF	-3.5	0.95	1
292	#FFFFFF	-3.05	0.5	1
292	#FFFFFF	-3.5	0.05	1
292	#FFFFFF	-3.95	0.5	1
290	#FFFFFF	-3.45	1	1
290	#FFFFFF	-3	1.45	1
290	#FFFFFF	-2.55	1	1
