group	label	showSelected1
1	Cluster 1: 6/6 pixels shown, logFC -0.0 to 2.5, log10(p) 0.0 to 0.5	1
1	Cluster 2: 4/4 pixels shown, logFC -0.1 to 0.7, log10(p) 0.1 to 1.2	2
1	Cluster 6: 38/55 pixels shown, logFC -0.7 to 0.7, log10(p) 0.0 to 1.6	6
1	Cluster 8: 4/18 pixels shown, logFC -0.0 to 1.3, log10(p) 0.2 to 16.3	8
1	Cluster 9: 5/8 pixels shown, logFC 1.2 to 1.4, log10(p) 14.4 to 16.1	9
1	Cluster 12: 1/49 pixels shown, logFC -1.0 to 1.0, log10(p) 0.0 to 1.5	12
1	Cluster 13: 5/26 pixels shown, logFC -0.4 to 0.3, log10(p) 0.0 to 1.9	13
1	Cluster 14: 7/13 pixels shown, logFC -1.1 to 1.5, log10(p) 0.0 to 1.1	14
1	Cluster 17: 7/7 pixels shown, logFC -0.1 to 0.2, log10(p) 0.1 to 1.2	17
1	Cluster 18: 3/3 pixels shown, logFC 1.3 to 1.3, log10(p) 15.5 to 16.6	18
1	Cluster 21: 3/3 pixels shown, logFC -1.6 to 3.9, log10(p) 0.4 to 1.2	21
1	Cluster 27: 3/3 pixels shown, logFC 1.3 to 2.3, log10(p) 4.6 to 8.8	27
1	Cluster 30: 1/1 pixels shown, logFC -0.0 to -0.0, log10(p) 0.1 to 0.1	30
1	Cluster 33: 5/6 pixels shown, logFC 0.1 to 1.5, log10(p) 0.1 to 4.7	33
1	Cluster 34: 13/13 pixels shown, logFC 1.1 to 1.4, log10(p) 9.3 to 13.4	34
