fill	x	y	xmin	xmax	ymin	ymax
#1C1C1C	0.75	0	0.625	0.875	-0.5	0.5
#000000	0.5	0	0.375	0.625	-0.5	0.5
#000000	1	0	0.875	1.125	-0.5	0.5
#363636	1.5	0	1.375	1.625	-0.5	0.5
#1C1C1C	1.25	0	1.125	1.375	-0.5	0.5
#949494	1.75	1	1.625	1.875	0.5	1.5
#FFFFFF	1.25	1	1.125	1.375	0.5	1.5
#949494	1	1	0.875	1.125	0.5	1.5
#FFFFFF	2.25	0	2.125	2.375	-0.5	0.5
#FFFFFF	1.5	1	1.375	1.625	0.5	1.5
#949494	1.75	0	1.625	1.875	-0.5	0.5
#FFFFFF	2	0	1.875	2.125	-0.5	0.5
#949494	0	0	-0.125	0.125	-0.5	0.5
#FFFFFF	0.75	1	0.625	0.875	0.5	1.5
